preprocess,embedding,oversampling,model,run,accuracy,precision,recall,f1,TP,FP,TN,FN,param
none,gpt,False,SVC,8,0.893,0.6383,0.7692,0.6977,60,34,374,18,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,tfidf,False,Logistic_Regression,8,0.8231,0.4706,0.8205,0.5981,64,72,336,14,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,llama,True,Logistic_Regression,8,0.8745,0.6164,0.5769,0.596,45,28,380,33,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,True,SVC,8,0.8128,0.4539,0.8205,0.5845,64,77,331,14,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,tfidf,True,Logistic_Regression,8,0.8642,0.575,0.5897,0.5823,46,34,374,32,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,gpt,True,Random_Forest,8,0.8951,0.814,0.4487,0.5785,35,8,400,43,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,K_Nearest_Neighbors,8,0.8848,0.7037,0.4872,0.5758,38,16,392,40,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
all,tfidf,False,Logistic_Regression,8,0.8086,0.4453,0.7821,0.5674,61,76,332,17,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,SVC,8,0.7922,0.4258,0.8462,0.5665,66,89,319,12,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,tfidf,False,SVC,8,0.8086,0.4444,0.7692,0.5634,60,75,333,18,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,bert,False,Logistic_Regression,8,0.8004,0.4326,0.7821,0.5571,61,80,328,17,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,bert,True,Logistic_Regression,8,0.8292,0.4771,0.6667,0.5562,52,57,351,26,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,True,Random_Forest,8,0.8807,0.7,0.4487,0.5469,35,15,393,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,Decision_Tree,8,0.8354,0.4889,0.5641,0.5238,44,46,362,34,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,False,SVC,8,0.7819,0.4,0.718,0.5138,56,84,324,22,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,llama,True,Random_Forest,8,0.8745,0.6809,0.4103,0.512,32,15,393,46,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,False,Decision_Tree,8,0.8395,0.5,0.5128,0.5063,40,40,368,38,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,llama,True,Decision_Tree,8,0.8004,0.4188,0.6282,0.5026,49,68,340,29,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,llama,True,K_Nearest_Neighbors,8,0.7017,0.3397,0.9103,0.4948,71,138,270,7,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,False,Decision_Tree,8,0.8272,0.4659,0.5256,0.494,41,47,361,37,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,llama,False,Random_Forest,8,0.8807,0.7778,0.359,0.4912,28,8,400,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,gpt,False,Naive_Bayes,8,0.7222,0.346,0.8205,0.4867,64,121,287,14,{'var_smoothing': 0.0001}
all,tfidf,True,Logistic_Regression,8,0.8436,0.5143,0.4615,0.4865,36,34,374,42,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,Decision_Tree,8,0.7407,0.3554,0.7564,0.4836,59,107,301,19,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
all,tfidf,False,Naive_Bayes,8,0.7449,0.3563,0.7308,0.479,57,103,305,21,{'var_smoothing': 0.001}
none,gpt,True,Naive_Bayes,8,0.7428,0.3503,0.7051,0.4681,55,102,306,23,{'var_smoothing': 0.01}
none,bert,True,Random_Forest,8,0.8395,0.5,0.4359,0.4658,34,34,374,44,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,Decision_Tree,8,0.786,0.386,0.5641,0.4583,44,70,338,34,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,True,SVC,8,0.8724,0.7222,0.3333,0.4561,26,10,398,52,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,bert,True,K_Nearest_Neighbors,8,0.6811,0.314,0.8333,0.4561,65,142,266,13,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,K_Nearest_Neighbors,8,0.8621,0.6222,0.359,0.4553,28,17,391,50,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,True,Naive_Bayes,8,0.6955,0.3177,0.7821,0.4519,61,131,277,17,{'var_smoothing': 1e-11}
all,tfidf,True,SVC,8,0.8724,0.75,0.3077,0.4364,24,8,400,54,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,tfidf,False,Naive_Bayes,8,0.642,0.2895,0.8462,0.4314,66,162,246,12,{'var_smoothing': 0.1}
none,llama,False,Naive_Bayes,8,0.6461,0.2864,0.8077,0.4228,63,157,251,15,{'var_smoothing': 0.0001}
none,bert,True,Naive_Bayes,8,0.6276,0.2771,0.8205,0.4142,64,167,241,14,{'var_smoothing': 0.1}
none,gpt,True,K_Nearest_Neighbors,8,0.6214,0.2754,0.8333,0.414,65,171,237,13,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,Random_Forest,8,0.8621,0.6571,0.2949,0.4071,23,12,396,55,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,False,Naive_Bayes,8,0.679,0.288,0.6795,0.4046,53,131,277,25,{'var_smoothing': 0.01}
none,llama,False,Decision_Tree,8,0.8169,0.4203,0.3718,0.3946,29,40,368,49,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,False,Decision_Tree,8,0.6543,0.2727,0.6923,0.3913,54,144,264,24,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,gpt,True,Decision_Tree,8,0.7572,0.3246,0.4744,0.3854,37,77,331,41,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,K_Nearest_Neighbors,8,0.8231,0.431,0.3205,0.3677,25,33,375,53,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,bert,False,Random_Forest,8,0.8457,0.5385,0.2692,0.359,21,18,390,57,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,tfidf,False,K_Nearest_Neighbors,8,0.8313,0.4474,0.218,0.2931,17,21,387,61,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
all,tfidf,True,Naive_Bayes,8,0.5576,0.1956,0.5641,0.2904,44,181,227,34,{'var_smoothing': 0.0001}
none,tfidf,True,Naive_Bayes,8,0.6605,0.2,0.3718,0.2601,29,116,292,49,{'var_smoothing': 0.0001}
all,tfidf,True,K_Nearest_Neighbors,8,0.8498,0.6923,0.1154,0.1978,9,4,404,69,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,K_Nearest_Neighbors,8,0.8477,0.6667,0.1026,0.1778,8,4,404,70,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Random_Forest,8,0.8498,0.8571,0.0769,0.1412,6,1,407,72,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,False,K_Nearest_Neighbors,8,0.8416,0.5714,0.0513,0.0941,4,3,405,74,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,SVC,9,0.893,0.6901,0.6203,0.6533,49,22,385,30,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,False,SVC,9,0.8868,0.6622,0.6203,0.6405,49,25,382,30,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,llama,True,SVC,9,0.893,0.7077,0.5823,0.6389,46,19,388,33,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
all,tfidf,False,Random_Forest,9,0.856,0.5484,0.6456,0.593,51,42,365,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,False,Logistic_Regression,9,0.8333,0.4917,0.7468,0.593,59,61,346,20,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,llama,False,Logistic_Regression,9,0.8457,0.5204,0.6456,0.5763,51,47,360,28,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,True,Random_Forest,9,0.8745,0.6406,0.519,0.5734,41,23,384,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,Decision_Tree,9,0.8416,0.5102,0.6329,0.565,50,48,359,29,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,False,SVC,9,0.8642,0.5619,0.7468,0.6413,59,46,361,20,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,tfidf,False,Random_Forest,9,0.8621,0.5857,0.519,0.5503,41,29,378,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,True,Logistic_Regression,9,0.8457,0.5233,0.5696,0.5455,45,41,366,34,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,False,Decision_Tree,9,0.8519,0.5443,0.5443,0.5443,43,36,371,36,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,llama,False,K_Nearest_Neighbors,9,0.8724,0.6491,0.4684,0.5441,37,20,387,42,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
none,llama,True,Random_Forest,9,0.8683,0.6271,0.4684,0.5362,37,22,385,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,gpt,True,Logistic_Regression,9,0.8354,0.4946,0.5823,0.5349,46,47,360,33,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
none,tfidf,True,Decision_Tree,9,0.8313,0.4832,0.5443,0.5119,43,46,361,36,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,True,Random_Forest,9,0.8683,0.6531,0.4051,0.5,32,17,390,47,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,False,Decision_Tree,9,0.8107,0.4381,0.5823,0.5,46,59,348,33,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Logistic_Regression,9,0.7901,0.408,0.6456,0.5,51,74,333,28,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,tfidf,False,Logistic_Regression,9,0.7613,0.3775,0.7215,0.4957,57,94,313,22,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,bert,True,SVC,9,0.7572,0.3709,0.7089,0.487,56,95,312,23,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,bert,False,SVC,9,0.7407,0.3576,0.7468,0.4836,59,106,301,20,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,False,Random_Forest,9,0.8765,0.7568,0.3544,0.4828,28,9,398,51,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,False,SVC,9,0.749,0.3595,0.6962,0.4741,55,98,309,24,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,bert,True,Logistic_Regression,9,0.8025,0.4158,0.5317,0.4667,42,59,348,37,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,True,Random_Forest,9,0.8539,0.5741,0.3924,0.4662,31,23,384,48,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,gpt,True,Decision_Tree,9,0.786,0.3853,0.5317,0.4468,42,67,340,37,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,gpt,False,K_Nearest_Neighbors,9,0.8375,0.5,0.3924,0.4397,31,31,376,48,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Decision_Tree,9,0.6461,0.2952,0.8481,0.4379,67,160,247,12,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,True,K_Nearest_Neighbors,9,0.6605,0.2991,0.8101,0.4369,64,150,257,15,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Naive_Bayes,9,0.6749,0.3035,0.7722,0.4357,61,140,267,18,{'var_smoothing': 1e-11}
none,tfidf,False,Naive_Bayes,9,0.6214,0.2822,0.8608,0.425,68,173,234,11,{'var_smoothing': 0.1}
all,tfidf,False,Logistic_Regression,9,0.7284,0.3222,0.6076,0.4211,48,101,306,31,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}"
none,gpt,True,Naive_Bayes,9,0.7222,0.3182,0.6203,0.4206,49,105,302,30,{'var_smoothing': 0.01}
all,tfidf,True,Logistic_Regression,9,0.8107,0.4177,0.4177,0.4177,33,46,361,46,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,True,Random_Forest,9,0.8107,0.4177,0.4177,0.4177,33,46,361,46,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,False,Decision_Tree,9,0.7243,0.3179,0.6076,0.4174,48,103,304,31,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,gpt,True,K_Nearest_Neighbors,9,0.6091,0.2697,0.8228,0.4063,65,176,231,14,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,SVC,9,0.6996,0.2945,0.6076,0.3967,48,115,292,31,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,gpt,False,Decision_Tree,9,0.6193,0.2591,0.7215,0.3813,57,163,244,22,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
all,tfidf,False,Naive_Bayes,9,0.6646,0.2692,0.6203,0.3755,49,133,274,30,{'var_smoothing': 0.001}
none,tfidf,True,SVC,9,0.8416,0.5227,0.2911,0.374,23,21,386,56,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,False,Naive_Bayes,9,0.6255,0.2559,0.6835,0.3724,54,157,250,25,{'var_smoothing': 1e-11}
none,tfidf,True,Logistic_Regression,9,0.784,0.3523,0.3924,0.3713,31,57,350,48,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}"
none,bert,False,Random_Forest,9,0.8375,0.5,0.2911,0.368,23,23,384,56,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,bert,True,K_Nearest_Neighbors,9,0.6214,0.2512,0.6709,0.3655,53,158,249,26,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,False,Naive_Bayes,9,0.642,0.2564,0.6329,0.365,50,145,262,29,{'var_smoothing': 0.0001}
none,bert,True,Naive_Bayes,9,0.6132,0.2489,0.6835,0.3649,54,163,244,25,{'var_smoothing': 0.1}
all,tfidf,True,SVC,9,0.8375,0.5,0.2785,0.3577,22,22,385,57,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,True,Naive_Bayes,9,0.6523,0.2554,0.5949,0.3574,47,137,270,32,{'var_smoothing': 1e-11}
none,llama,True,Decision_Tree,9,0.7593,0.3137,0.4051,0.3536,32,70,337,47,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,False,K_Nearest_Neighbors,9,0.8292,0.4565,0.2658,0.336,21,25,382,58,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
none,bert,True,Decision_Tree,9,0.7428,0.283,0.3798,0.3243,30,76,331,49,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,K_Nearest_Neighbors,9,0.786,0.2951,0.2279,0.2571,18,43,364,61,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,gpt,False,Random_Forest,9,0.8539,0.7857,0.1392,0.2366,11,3,404,68,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,True,Naive_Bayes,9,0.6255,0.172,0.3418,0.2288,27,130,277,52,{'var_smoothing': 0.0001}
all,tfidf,True,Naive_Bayes,9,0.4897,0.1373,0.4051,0.2051,32,201,206,47,{'var_smoothing': 0.0001}
all,tfidf,True,K_Nearest_Neighbors,9,0.8375,0.5,0.1139,0.1856,9,9,398,70,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,K_Nearest_Neighbors,9,0.8333,0.4444,0.1013,0.165,8,10,397,71,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,K_Nearest_Neighbors,9,0.8416,0.6,0.076,0.1348,6,4,403,73,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
